Station Id,Name,Latitude,Longitude,Number of Bikes
7158,King St W / Stafford St,43.6422222,-79.41111111111111,0
7160,King St W / Tecumseth St,43.64333333333333,-79.40555555555557,0
7161,Beverley St / College St,43.6575,-79.39527777777778,19
7162,Hayter St / La Plante Ave,43.6591666666667,-79.3855555555556,10
7163,Yonge St / Wood St,43.6622222,-79.3825,2
7164,Gould St / Yonge St (TMU),43.657424,-79.381019,13
7168,Queens Quay / Yonge St,43.641646,-79.375308,10
7169,Front St W / Bay St (North Side),43.646162,-79.378912,6
7170,Spadina Ave / Willcocks St,43.6616667,-79.40138888888889,5
7171,Ontario Place Blvd / Lake Shore Blvd W,43.6322445,-79.4108105,13
7172,Strachan Ave / Princes' Blvd,43.635,-79.4088888888889,17
7173,Cariboo Ave / Railpath Trail,43.66666667,-79.45833333333334,14
7174,Bloor St W / Dundas St W,43.6563889,-79.45166666666667,12
7175,HTO Park (Queens Quay W),43.63796,-79.387502,6
7176,Bathurst St / Fort York Blvd,43.639179,-79.399595,3
7178,Dundas St W / Edna Ave,43.657192,-79.452559,3
7180,Lansdowne Subway Station,43.6587734,-79.443054,11
7181,Lansdowne Ave / Whytock Ave,43.6538888888889,-79.4413888888889,0
7182,Sterling Rd / Dundas St W,43.6508333333333,-79.4430555555556,0
7183,St Clarens Ave / College St,43.651238,-79.43868,7
7184,Ossington Ave / College St,43.6544915,-79.422634,3
7188,Exhibition GO (Atlantic Ave),43.637695491830144,-79.42023184193503,0
7189,Augusta Ave / Denison Sq,43.653766,-79.4016759,9
7190,St. George St / Hoskin Ave,43.6637403,-79.39806449999999,14
7191,Central Tech  (Harbord St),43.661975,-79.407896,0
7192,Harbord St / Clinton St,43.660414,-79.415646,2
7193,Dufferin St / Queen St W,43.64309687937765,-79.42875613770637,11
7194,Mortimer Ave / Coxwell Ave,43.690564,-79.326319,6
7195,Ulster St / Bathurst St,43.66,-79.4088888888889,0
7196,Roxton Rd / Harbord St,43.65905,-79.422988,1
7197,Queen St W / Dovercourt Rd,43.6438602,-79.4227573,0
7198,Queen St W / Cowan Ave,43.6409,-79.432837,9
7199,College St / Markham St,43.6563888888889,-79.4091666666667,4
7202,Queen St W / Bay St (City Hall),43.6517925,-79.38269509999999,20
7203,Bathurst St/Queens Quay(Billy Bishop Airport),43.635492,-79.398253,6
7204,College St / Crawford St,43.655,-79.418889,10
7205,Rusholme Park Cres / College St,43.65277778,-79.42972222,3
7206,Claremont St / Dundas St W,43.651281,-79.411717,0
7208,80 Clinton St,43.656296,-79.414663,5
7209,Ossington Ave / Harrison St,43.65111111111111,-79.4213888888889,10
7210,Mary McCormick Rec Centre (Sheridan Ave),43.6475,-79.43305555555555,7
7211,Fort York Blvd / Garrison Rd,43.637381,-79.406112,5
